"","OTU","Size","Phylum","Class","Order","Family","Genus"
"Otu0001","Otu0001",2416163,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella"
"Otu0002","Otu0002",1438650,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacteriaceae_unclassified"
"Otu0003","Otu0003",687228,"Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"Otu0004","Otu0004",416914,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Otu0005","Otu0005",306642,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Otu0006","Otu0006",206366,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Finegoldia"
"Otu0007","Otu0007",200503,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0008","Otu0008",171862,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Fenollaria"
"Otu0009","Otu0009",167141,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0010","Otu0010",158878,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella"
"Otu0011","Otu0011",155732,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0012","Otu0012",146633,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu0013","Otu0013",145431,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Peptoniphilus"
"Otu0014","Otu0014",137051,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0015","Otu0015",132626,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0016","Otu0016",126628,"Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium"
"Otu0017","Otu0017",126007,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Otu0018","Otu0018",118148,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0019","Otu0019",116640,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu0020","Otu0020",95552,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
